pakiet,wersja,bezpośredni_odbiorcy_w_grafie
crypto-common,0.2.2,cipher 0.5.2; digest 0.11.2
curve25519-dalek,4.1.3,ed25519-dalek 2.2.0; x25519-dalek 2.0.1
curve25519-dalek,5.0.0-rc.0,ed25519-dalek 3.0.0-rc.0; iroh-base 1.1.0
darling,0.20.11,derive_builder_core 0.20.2; macerator-macros 0.1.5
darling,0.21.3,enumset_derive 0.15.0
darling,0.23.0,bon-macros 3.9.3; cubecl-macros 0.10.0; cubecl-macros-internal 0.10.0
darling_core,0.20.11,darling 0.20.11; darling_macro 0.20.11
darling_core,0.21.3,darling 0.21.3; darling_macro 0.21.3
darling_core,0.23.0,darling 0.23.0; darling_macro 0.23.0
darling_macro,0.20.11,darling 0.20.11
darling_macro,0.21.3,darling 0.21.3
darling_macro,0.23.0,darling 0.23.0
dashmap,5.5.3,milvus-sdk-rust 0.1.0
dashmap,6.2.1,fjall 3.1.5; iroh-relay 1.1.0; tentaflow-core 0.1.0
der,0.7.10,ecdsa 0.16.9; pkcs1 0.7.5; pkcs8 0.10.2; sec1 0.7.3; spki 0.7.3
der,0.8.0,pkcs8 0.11.0; spki 0.8.0
der-parser,10.0.0,x509-parser 0.18.1
der-parser,9.0.0,dtls 0.17.1; x509-parser 0.16.0
derive_more,0.99.20,genpdf 0.2.0
derive_more,2.1.1,cubecl-common 0.10.0; cubecl-core 0.10.0; cubecl-ir 0.10.0; cubecl-runtime 0.10.0; cubecl-wgpu 0.10.0; iroh 1.1.0; iroh-base 1.1.0; iroh-dns 1.1.0; iroh-mainline-address-lookup 0.5.0; iroh-mdns-address-lookup 0.5.0; iroh-relay 1.1.0; n0-future 0.3.2; n0-watcher 1.0.0; netwatch 0.19.3; noq 1.2.0; noq-proto 1.2.0; portmapper 0.19.3
digest,0.10.7,blake2 0.10.6; curve25519-dalek 4.1.3; ecdsa 0.16.9; elliptic-curve 0.13.8; hmac 0.12.1; md-5 0.10.6; pbkdf2 0.11.0; rsa 0.9.10; sha1 0.10.6; sha2 0.10.9; signature 2.2.0
digest,0.11.2,curve25519-dalek 5.0.0-rc.0; hmac 0.13.0; md-5 0.11.0; pbkdf2 0.13.0; sha1 0.11.0; sha2 0.11.0
dirs,5.0.1,sherpa-rs-sys 0.6.8
dirs,6.0.0,cubecl-common 0.10.0; cubecl-runtime 0.10.0; hf-hub 0.5.0; tentaflow-core 0.1.0; tentaflow-desktop-core 0.1.0; tentaflow-mobile 0.1.0; tracel-llvm-bundler 20.1.4-7; tray-icon 0.19.3
dirs-sys,0.4.1,dirs 5.0.1
dirs-sys,0.5.0,dirs 6.0.0
downcast-rs,1.2.1,portable-pty 0.9.0; wayland-backend 0.3.17
downcast-rs,2.0.2,tract-core 0.23.3; tract-data 0.23.3; tract-linalg 0.23.3; tract-pulse 0.23.3; tract-pulse-opl 0.23.3
ed25519,2.2.3,ed25519-dalek 2.2.0
ed25519,3.0.0,ed25519-dalek 3.0.0-rc.0
ed25519-dalek,2.2.0,jsonwebtoken 10.4.0; tentaflow-cli 0.1.0; tentaflow-core 0.1.0; tentaflow-protocol-wasm 0.1.0; tentaflow-sdk-spec 0.1.0
ed25519-dalek,3.0.0-rc.0,iroh 1.1.0; iroh-base 1.1.0; n0-mainline 0.6.0
embedded-hal,0.2.7,embassy-time 0.5.1
embedded-hal,1.0.0,embassy-time 0.5.1; embedded-hal-async 1.0.0
embedded-io,0.4.0,postcard 1.1.3
embedded-io,0.6.1,postcard 1.1.3
fiat-crypto,0.2.9,curve25519-dalek 4.1.3
fiat-crypto,0.3.0,curve25519-dalek 5.0.0-rc.0
fixedbitset,0.4.2,petgraph 0.6.5
fixedbitset,0.5.7,petgraph 0.8.3
foldhash,0.1.5,hashbrown 0.15.5
foldhash,0.2.0,cubecl-ir 0.10.0; hashbrown 0.16.1; hashbrown 0.17.0
getrandom,0.2.17,ahash 0.7.8; const-random-macro 0.1.16; jsonwebtoken 10.4.0; rand_core 0.6.4; redox_users 0.4.6; redox_users 0.5.2; ring 0.17.14
getrandom,0.3.4,ahash 0.8.12; jobserver 0.1.34; quinn-proto 0.11.14; rand_core 0.9.5; tokenizers 0.22.2; tokenizers 0.23.2
getrandom,0.4.3,iroh 1.1.0; iroh-base 1.1.0; iroh-relay 1.1.0; noq-proto 1.2.0; rand 0.10.1; tempfile 3.27.0; tentaflow-core 0.1.0; tentaflow-protocol-wasm 0.1.0; tentaflow-sdk-spec 0.1.0; tentaflow-voxel-wasm 0.1.0; tokio-websockets 0.13.2; tract-onnx-opl 0.23.3; uuid 1.23.3; zip 8.6.0
gimli,0.32.3,addr2line 0.25.1
gimli,0.33.0,addr2line 0.26.1; cranelift-codegen 0.133.0; wasmtime 46.0.0; wasmtime-environ 46.0.0; wasmtime-internal-cranelift 46.0.0
gio-sys,0.18.1,gdk-pixbuf-sys 0.18.0; gdk-sys 0.18.2; gio 0.18.4; glib 0.18.5; gtk-sys 0.18.2
gio-sys,0.22.0,glib 0.22.7
glam,0.30.10,nalgebra 0.35.0
glam,0.31.1,nalgebra 0.35.0
glam,0.32.1,nalgebra 0.35.0
glam,0.33.1,nalgebra 0.35.0; tentaflow-voxel-wasm 0.1.0
glib,0.18.5,atk 0.18.2; cairo-rs 0.18.5; gdk 0.18.2; gdk-pixbuf 0.18.5; gio 0.18.4; gtk 0.18.2; libappindicator 0.9.0; pango 0.18.3
glib,0.22.7,gstreamer 0.25.2; gstreamer-app 0.25.2; gstreamer-base 0.25.2; gstreamer-video 0.25.3
glib-macros,0.18.5,glib 0.18.5
glib-macros,0.22.6,glib 0.22.7
glib-sys,0.18.1,atk-sys 0.18.2; cairo-sys-rs 0.18.2; gdk-pixbuf-sys 0.18.0; gdk-sys 0.18.2; gio-sys 0.18.1; glib 0.18.5; gobject-sys 0.18.0; gtk-sys 0.18.2; pango-sys 0.18.0
glib-sys,0.22.6,gio-sys 0.22.0; glib 0.22.7; gobject-sys 0.22.6; gstreamer-app-sys 0.25.0; gstreamer-base-sys 0.25.0; gstreamer-sys 0.25.2; gstreamer-video-sys 0.25.3
gobject-sys,0.18.0,atk-sys 0.18.2; gdk-pixbuf-sys 0.18.0; gdk-sys 0.18.2; gio-sys 0.18.1; glib 0.18.5; gtk-sys 0.18.2; pango-sys 0.18.0
gobject-sys,0.22.6,gio-sys 0.22.0; glib 0.22.7; gstreamer-base-sys 0.25.0; gstreamer-sys 0.25.2; gstreamer-video-sys 0.25.3
hashbrown,0.12.3,fast2s 0.3.1; indexmap 1.9.3; oq3_semantics 0.7.0
hashbrown,0.13.2,text_placeholder 0.5.1
hashbrown,0.14.5,dashmap 5.5.3; dashmap 6.2.1; jieba-rs 0.6.8; rowan 0.15.15
hashbrown,0.15.5,gpu-descriptor 0.3.2; petgraph 0.8.3; string-interner 0.19.0
hashbrown,0.16.1,accesskit_consumer 0.35.0; accesskit_consumer 0.36.0; accesskit_consumer 0.38.0; accesskit_macos 0.26.3; accesskit_windows 0.32.1; burn-autodiff 0.21.0; burn-backend 0.21.0; burn-core 0.21.0; burn-cubecl-fusion 0.21.0; burn-fusion 0.21.0; burn-ir 0.21.0; burn-optim 0.21.0; burn-router 0.21.0; burn-store 0.21.0; cubecl-common 0.10.0; cubecl-core 0.10.0; cubecl-ir 0.10.0; cubecl-runtime 0.10.0; cubecl-wgpu 0.10.0; gimli 0.33.0; gpu-allocator 0.28.0; hashlink 0.11.0; naga 29.0.1; quick_cache 0.6.22; rsqlite-vfs 0.1.0; safetensors 0.7.0; string-interner 0.20.0; vello_common 0.0.6; vello_cpu 0.0.6; wgpu 29.0.3; wgpu-core 29.0.1; wgpu-hal 29.0.1
hashbrown,0.17.0,cranelift-codegen 0.133.0; cranelift-frontend 0.133.0; indexmap 2.14.0; lru 0.18.0; object 0.39.1; regalloc2 0.15.1; rkyv 0.8.16; wasmparser 0.251.0; wasmtime-environ 46.0.0; wasmtime-internal-core 46.0.0; wit-parser 0.251.0
heck,0.4.1,glib-macros 0.18.5; strum_macros 0.24.3
heck,0.5.0,cbindgen 0.29.4; chromiumoxide_pdl 0.9.1; clap_derive 4.6.1; cranelift-codegen-meta 0.133.0; enum-as-inner 0.6.1; glib-macros 0.22.6; iroh-metrics-derive 1.0.1; prost-build 0.13.5; prost-build 0.14.4; strum_macros 0.28.0; system-deps 6.2.2; system-deps 7.0.8; wasm-compose 0.251.0; wasmtime-internal-wit-bindgen 46.0.0; wiggle-generate 46.0.0
hkdf,0.12.4,elliptic-curve 0.13.8
hkdf,0.13.0,tentaflow-core 0.1.0
hmac,0.12.1,dtls 0.17.1; hkdf 0.12.4; jsonwebtoken 10.4.0; pbkdf2 0.11.0; rfc6979 0.4.0; webrtc-srtp 0.17.1; zip 0.6.6
hmac,0.13.0,hkdf 0.13.0; pbkdf2 0.13.0; tentaflow-core 0.1.0; zip 8.6.0
indexmap,1.9.3,priority-queue 1.4.0
indexmap,2.14.0,cbindgen 0.29.4; cookie_store 0.22.1; gimli 0.33.0; h2 0.4.15; naga 29.0.1; object 0.39.1; oq3_syntax 0.7.0; petgraph 0.6.5; petgraph 0.8.3; plist 1.10.1; protobuf-parse 3.7.2; rkyv 0.8.16; serde_json 1.0.150; serde_yaml_ng 0.10.0; toml 0.9.12+spec-1.1.0; toml 1.1.2+spec-1.1.0; toml_edit 0.19.15; toml_edit 0.20.2; toml_edit 0.25.4+spec-1.1.0; tower 0.5.3; wasm-compose 0.251.0; wasmparser 0.239.0; wasmparser 0.251.0; wasmparser 0.252.0; wasmtime-environ 46.0.0; wasmtime-internal-wit-bindgen 46.0.0; wgpu-core 29.0.1; wit-parser 0.251.0; zip 7.2.0; zip 8.6.0
inout,0.1.4,cipher 0.4.4
inout,0.2.2,cipher 0.5.2
itertools,0.10.5,oq3_syntax 0.7.0
itertools,0.12.1,bindgen 0.69.5; cozo 0.7.6
itertools,0.13.0,bindgen 0.71.1; bindgen 0.72.1; criterion 0.8.2; criterion-plot 0.8.2
itertools,0.14.0,cubecl-cpp 0.10.0; gstreamer 0.25.2; pdfium-render 0.9.2; prost-build 0.13.5; prost-build 0.14.4; prost-derive 0.13.5; prost-derive 0.14.4; rav1e 0.8.1; rayon-cond 0.4.0; tokenizers 0.22.2; tokenizers 0.23.2; tract-data 0.23.3; wasmtime-internal-cranelift 46.0.0
itoa,0.4.8,lopdf 0.26.0
itoa,1.0.17,axum 0.8.9; compact_str 0.9.1; csv 1.4.0; http 1.4.0; hyper 1.10.1; iroh-metrics 1.0.1; serde_json 1.0.150; serde_path_to_error 0.1.20; serde_urlencoded 0.7.1; serde_yaml_ng 0.10.0; time 0.3.47
jni,0.21.1,netdev 0.45.0; netdev 0.46.2; tentaflow-mobile 0.1.0
jni,0.22.4,android-activity 0.6.1; hickory-net 0.26.1; hickory-proto 0.26.1; hickory-resolver 0.26.1; rustls-platform-verifier 0.7.0; webbrowser 1.2.4
jni-sys,0.3.0,jni 0.21.1; ndk 0.9.0; ndk-sys 0.6.0+11769913
jni-sys,0.4.1,jni 0.22.4
libloading,0.7.4,libappindicator-sys 0.9.0
libloading,0.8.9,ash 0.38.0+1.3.281; clang-sys 1.8.1; dlib 0.5.3; glutin 0.32.3; khronos-egl 6.0.0; wgpu-hal 29.0.1; x11rb 0.13.2
libloading,0.9.0,cudarc 0.19.9; ort 2.0.0-rc.12; pdfium-render 0.9.2; tentaflow 0.1.0-beta; tentaflow-core 0.1.0; tentaflow-desktop-macos 0.1.0
linux-raw-sys,0.12.1,rustix 1.1.4
linux-raw-sys,0.4.15,rustix 0.38.44
lz4_flex,0.10.0,swapvec 0.3.0
lz4_flex,0.13.1,fjall 3.1.5; lsm-tree 3.1.5; tentaflow-addon-go2 0.0.1; tentaflow-bus 0.1.0; tentaflow-core 0.1.0; tentaflow-protocol-wasm 0.1.0; tentaflow-sdk-spec 0.1.0; tentaflow-slam 0.1.0
md-5,0.10.6,stun 0.17.1; turn 0.17.1
md-5,0.11.0,tentaflow-hardware 0.1.0
memoffset,0.7.1,nix 0.26.4
memoffset,0.9.1,egui_glow 0.34.3; field-offset 0.3.6; rowan 0.15.15; uds_windows 1.2.1
miniz_oxide,0.7.4,swapvec 0.3.0
miniz_oxide,0.8.9,backtrace 0.3.76; exr 1.74.0; flate2 1.1.9; png 0.17.16; png 0.18.1
nb,0.1.3,embedded-hal 0.2.7
nb,1.1.0,nb 0.1.3
ndarray,0.15.6,cozo 0.7.6
ndarray,0.16.1,tch 0.22.0
ndarray,0.17.2,burn-ndarray 0.21.0; burn-vision 0.21.0; ort 2.0.0-rc.12; tentaflow-core 0.1.0; tract-core 0.23.3; tract-data 0.23.3
netdev,0.45.0,netwatch 0.19.3; tentaflow-core 0.1.0
netdev,0.46.2,netwatch 0.19.3
netlink-packet-core,0.8.1,netdev 0.45.0; netlink-packet-route 0.31.0; netlink-proto 0.12.0; netwatch 0.19.3
netlink-packet-core,0.9.0,netdev 0.46.2; netlink-packet-route 0.33.0
netlink-packet-route,0.31.0,netdev 0.45.0; netwatch 0.19.3
netlink-packet-route,0.33.0,netdev 0.46.2
netlink-sys,0.8.8,netdev 0.45.0; netlink-proto 0.12.0; netwatch 0.19.3
netlink-sys,0.9.0,netdev 0.46.2
nix,0.26.4,webrtc-util 0.17.1
nix,0.28.0,portable-pty 0.9.0
nix,0.31.3,ctrlc 3.5.2
nom,7.1.3,asn1-rs 0.6.2; asn1-rs 0.7.1; cel 0.13.0; cexpr 0.6.0; der-parser 10.0.0; der-parser 9.0.0; rusticata-macros 4.1.0; spm_precompiled 0.1.4; x509-parser 0.16.0; x509-parser 0.18.1
nom,8.0.0,av1-grain 0.2.5; nom-language 0.1.0; tract-data 0.23.3; tract-nnef 0.23.3; tynm 0.2.0
objc2,0.5.2,accesskit_macos 0.26.3; block2 0.5.1; muda 0.15.3; objc2-app-kit 0.2.2; objc2-cloud-kit 0.2.2; objc2-contacts 0.2.2; objc2-core-data 0.2.2; objc2-core-image 0.2.2; objc2-core-location 0.2.2; objc2-foundation 0.2.2; objc2-link-presentation 0.2.2; objc2-metal 0.2.2; objc2-quartz-core 0.2.2; objc2-symbols 0.2.2; objc2-ui-kit 0.2.2; objc2-uniform-type-identifiers 0.2.2; objc2-user-notifications 0.2.2; winit 0.30.13
objc2,0.6.4,arboard 3.6.1; block2 0.6.2; dispatch2 0.3.1; eframe 0.34.3; egui-winit 0.34.3; glutin 0.32.3; netdev 0.45.0; objc2-app-kit 0.3.2; objc2-core-foundation 0.3.2; objc2-core-graphics 0.3.2; objc2-core-wlan 0.3.2; objc2-foundation 0.3.2; objc2-io-surface 0.3.2; objc2-metal 0.3.2; objc2-open-directory 0.3.2; objc2-quartz-core 0.3.2; objc2-security 0.3.2; objc2-security-foundation 0.3.2; objc2-system-configuration 0.3.2; objc2-ui-kit 0.3.2; raw-window-metal 1.1.0; tray-icon 0.19.3; webbrowser 1.2.4; wgpu-hal 29.0.1
objc2-app-kit,0.2.2,accesskit_macos 0.26.3; muda 0.15.3; objc2-link-presentation 0.2.2; winit 0.30.13
objc2-app-kit,0.3.2,arboard 3.6.1; eframe 0.34.3; glutin 0.32.3; tray-icon 0.19.3; webbrowser 1.2.4
objc2-foundation,0.2.2,accesskit_macos 0.26.3; muda 0.15.3; objc2-app-kit 0.2.2; objc2-cloud-kit 0.2.2; objc2-contacts 0.2.2; objc2-core-data 0.2.2; objc2-core-image 0.2.2; objc2-core-location 0.2.2; objc2-link-presentation 0.2.2; objc2-metal 0.2.2; objc2-quartz-core 0.2.2; objc2-symbols 0.2.2; objc2-ui-kit 0.2.2; objc2-uniform-type-identifiers 0.2.2; objc2-user-notifications 0.2.2; winit 0.30.13
